6.9,1.8,30.2,58.3,27.3,84.9,-14.2
8.4,28.5,38.8,87.5,39.8,172.6,-34.1
5.7,7.8,31.7,83.5,26,154.2,-15.8
7.4,2.3,24.2,14.2,29.4,35.2,-13.9
8.5,-0.7,28.1,46.7,26.6,69.2,-13.9
13.8,7.2,10.4,57.9,26.2,111,-22.6
1.7,32.2,7.5,73.8,50.5,704.1,-40.9
3.6,7.4,30,61.3,26.4,69.9,4
8.2,10.2,12.1,41,11.7,65.4,-32.5
5,10.5,13.6,17.4,14.7,132.1,-8.1
2.1,0.3,18.3,34.4,24.2,179.9,12.3
4.2,8.1,21.3,64.9,21.7,139.9,-35
3.9,2,33.1,82,26.3,108.7,-2
4.1,10.8,38.3,83.3,32.6,123.2,-2.2
4.2,1.9,36.9,61.8,21.6,104.7,-14.2
9.4,-1.5,22.4,22.2,33.5,61.5,-32.7
3.6,-0.3,19.6,8.6,27,68.2,-13.4
7.6,5.5,29.1,62.8,32.2,96.9,-8.7
8.5,4.8,32.8,86.2,16,258,0.5
7.5,2.3,26.5,18.7,23.7,32,-0.6
4.1,17.3,41.5,78.6,23.5,127,-12.5
4.6,68.6,39,14.6,38.2,27.1,45.4
7.2,3,20.2,41.4,27.6,70.7,-38.2
13.4,7.1,20.4,13.9,22.5,38.3,-33.6
10.3,1.4,29.8,43.7,29.4,54,-10
9.4,4.6,36,78.2,29.9,101.5,-14.6
2.5,-3.3,37.6,88.5,27.5,185.9,-7.6
10.3,-0.5,31.8,57.2,27.2,61.2,-17.6
7.5,22.3,28.6,5.7,31.3,38.6,27.2
18.7,6.2,39.7,55.8,28.7,52.6,-2.9
5.1,-2,23.8,29,29.3,62.6,-10.3
3.7,19.6,12.3,77.3,32,207.7,-45.6
10.3,3,31.1,51.7,26.2,42.4,-31.9
7.3,19.2,32.9,68.1,25.2,105.2,-35.7
4.2,7,22.1,41.2,21.4,68.6,-8.8
2.1,5.4,27.1,60,23.5,157.3,6.2
2.5,2.8,20.3,29.8,24.1,58.5,-27.5
8.1,8.5,30,66.4,26,63.1,-37.4
10.3,-1.9,15.9,39.9,38.5,86.4,-13.5
10.5,2.8,36.4,72.3,26,77.5,-21.6
5.8,2,24.2,19.5,28.3,63.5,2.2
6.9,2.9,20.7,6.6,25.8,68.9,-2.4
9.3,4.9,34.9,82.4,18.4,102.8,-12
11.4,2.6,38.7,78.2,18.4,86.6,-12.8
